comment_id,survey_id,guest_id,store_id,comment_date,guest_segment,visit_channel,comment_text,primary_theme,secondary_theme,star_rating,sentiment_label,data_source
CMT-000001,SVY-000001,GST-000001,BB-043,2024-02-21,occasional_guest,drive_thru,"The latte tasted different than usual, and the line moved reasonably.",speed_of_service,,4,positive,synthetic
CMT-000002,SVY-000002,GST-000002,BB-071,2024-06-23,at_risk_guest,in_store,App crashed while I tried to customize my drink.,mobile_app_issues,,4,negative,synthetic
CMT-000003,SVY-000003,GST-000003,BB-070,2024-01-10,mobile_first_guest,delivery,I like the seasonal drinks and wanted to try the new cold brew.,seasonal_menu_interest,drive_thru_experience,4,neutral,synthetic
CMT-000004,SVY-000004,GST-000004,BB-005,2024-03-08,loyalty_regular,drive_thru,"Mobile ordering was easy, but my drink was ready on time when I arrived.",mobile_app_issues,rewards_value,5,positive,synthetic
CMT-000005,SVY-000005,GST-000005,BB-048,2024-01-21,price_sensitive_guest,in_store,Prices feel high for the cup size I received.,price_value,,5,negative,synthetic
CMT-000006,SVY-000006,GST-000006,BB-081,2024-02-19,loyalty_regular,in_store,The store was clean and well maintained during a busy afternoon.,cleanliness,,4,positive,synthetic
CMT-000007,SVY-000007,GST-000007,BB-083,2024-04-01,mobile_first_guest,in_store,Mobile order instructions were confusing at this location.,mobile_app_issues,speed_of_service,4,neutral,synthetic
CMT-000008,SVY-000008,GST-000008,BB-027,2024-04-07,at_risk_guest,in_store,Loved the new seasonal drink and would order again.,seasonal_menu_interest,,3,negative,synthetic
CMT-000009,SVY-000009,GST-000009,BB-079,2024-03-18,occasional_guest,mobile_order,Birthday reward made me feel valued as a member.,rewards_value,,4,positive,synthetic
CMT-000010,SVY-000010,GST-000010,BB-087,2024-04-28,mobile_first_guest,drive_thru,"Mobile ordering was easy, but my drink was not ready when I arrived.",mobile_app_issues,,4,negative,synthetic
CMT-000011,SVY-000011,GST-000011,BB-012,2024-02-19,occasional_guest,in_store,My usual oat milk cortado was weaker and milkier than normal and rewards did not feel worthwhile.,drink_consistency,rewards_value,4,positive,synthetic
CMT-000012,SVY-000012,GST-000012,BB-032,2024-03-29,occasional_guest,mobile_order,App crashed while I tried to customize my drink and rewards did not feel worthwhile.,mobile_app_issues,rewards_value,3,positive,synthetic
CMT-000013,SVY-000013,GST-000013,BB-044,2024-02-11,price_sensitive_guest,in_store,"Happy hour pricing helped, but regular menu prices still feel steep.",price_value,,3,negative,synthetic
CMT-000014,SVY-000014,GST-000014,BB-077,2024-04-16,loyalty_regular,mobile_order,Points never posted after my last three visits.,rewards_value,,4,negative,synthetic
CMT-000015,SVY-000015,GST-000015,BB-074,2024-06-01,occasional_guest,mobile_order,Mobile order instructions were confusing at this location.,mobile_app_issues,,4,neutral,synthetic
